DATA,CANAL,CAMPANHA,VALOR USADO,IMPRESSÃO,LEADS,CPA,CLIQUES,CPC,CONVERSÃO,CTR
16/07/2024,Pesquisa,IA na prática,"54,00",211,2,"27,00",22,"2,45","0,09","0,10"
17/07/2024,Pesquisa,IA na prática,"50,45",1640,4,"12,61",92,"0,55","0,04","0,06"
18/07/2024,Pesquisa,IA na prática,"52,89",1320,2,"26,45",81,"0,65","0,02","0,06"
19/07/2024,Pesquisa,IA na prática,"49,68",1300,2,"24,84",74,"0,67","0,03","0,06"
20/07/2024,Pesquisa,IA na prática,"53,21",1210,2,"26,61",77,"0,69","0,03","0,06"
21/07/2024,Pesquisa,IA na prática,"37,45",2060,3,"12,48",37,"1,01","0,08","0,02"
22/07/2024,Pesquisa,IA na prática,"37,35",1360,4,"9,34",33,"1,13","0,12","0,02"
23/07/2024,Pesquisa,IA na prática,"34,69",2230,2,"17,35",41,"0,85","0,05","0,02"
24/07/2024,Pesquisa,IA na prática,"37,99",977,3,"12,66",30,"1,27","0,10","0,03"
25/07/2024,Pesquisa,IA na prática,"34,89",1780,6,"5,82",33,"1,06","0,18","0,02"
26/07/2024,Pesquisa,IA na prática,"35,60",1530,2,"17,80",24,"1,48","0,08","0,02"
27/07/2024,Pesquisa,IA na prática,"36,02",2140,4,"9,01",35,"1,03","0,11","0,02"
28/07/2024,Pesquisa,IA na prática,"33,60",2370,5,"6,72",34,"0,99","0,15","0,01"
29/07/2024,Pesquisa,IA na prática,"32,95",1260,6,"5,49",29,"1,14","0,21","0,02"
30/07/2024,Pesquisa,IA na prática,"32,95",2960,10,"3,30",36,"0,92","0,28","0,01"
31/07/2024,Pesquisa,IA na prática,"26,18",2160,7,"3,74",34,"0,77","0,21","0,02"
09/08/2024,Pesquisa,IA na prática,"24,51",1510,9,"2,72",20,"1,23","0,45","0,01"
10/08/2024,Pesquisa,IA na prática,"58,43",3090,20,"2,92",62,"0,94","0,32","0,02"
11/08/2024,Pesquisa,IA na prática,"128,00",4880,14,"9,14",105,"1,22","0,13","0,02"
12/08/2024,Pesquisa,IA na prática,"200,00",5910,33,"6,06",148,"1,35","0,22","0,03"
13/08/2024,Pesquisa,IA na prática,"115,00",3830,29,"3,97",117,"0,98","0,25","0,03"
